img_id,path,img_type,scenario,incompatible_ids,_abs_path,_serve_path,_img_source_idx,batch_id,score_start,uncertainty_start,n_answers_start,active_batch_start,score_walk-preference,uncertainty_walk-preference,n_answers_walk-preference,active_batch_walk-preference,score_bike-preference,uncertainty_bike-preference,n_answers_bike-preference,active_batch_bike-preference,score_general-preference,uncertainty_general-preference,n_answers_general-preference,active_batch_general-preference,score_stay-preference,uncertainty_stay-preference,n_answers_stay-preference,active_batch_stay-preference
w48,Walk/Anlagenring_20260610_193645847.jpg,walk,Anlagenring,,/home/miguel/Documents/UNI/Master/2/ProjektVerkehr/survey_app/images/Anlagenring/Walk/Anlagenring_20260610_193645847.jpg,/images/0/Walk/Anlagenring_20260610_193645847.jpg,0,3,5.0,0.5,0,1,4.530551688591281,0.315427156982701,2,5,5.0,0.5,0,1,5.0,0.5,0,1,5.0,0.5,0,1
w49,Walk/Anlagenring_20260610_193739746.jpg,walk,Anlagenring,,/home/miguel/Documents/UNI/Master/2/ProjektVerkehr/survey_app/images/Anlagenring/Walk/Anlagenring_20260610_193739746.jpg,/images/0/Walk/Anlagenring_20260610_193739746.jpg,0,4,5.0,0.5,0,1,3.899643928526417,0.37586280656000076,2,5,5.0,0.5,0,1,5.0,0.5,0,1,5.0,0.5,0,1
w50,Walk/Anlagenring_20260610_193815546.jpg,walk,Anlagenring,,/home/miguel/Documents/UNI/Master/2/ProjektVerkehr/survey_app/images/Anlagenring/Walk/Anlagenring_20260610_193815546.jpg,/images/0/Walk/Anlagenring_20260610_193815546.jpg,0,1,5.0,0.5,0,1,7.081528937025517,0.24692478628259557,8,5,5.0,0.5,0,1,5.0,0.5,0,1,5.0,0.5,0,1
w51,Walk/Anlagenring_20260610_194104433.jpg,walk,Anlagenring,,/home/miguel/Documents/UNI/Master/2/ProjektVerkehr/survey_app/images/Anlagenring/Walk/Anlagenring_20260610_194104433.jpg,/images/0/Walk/Anlagenring_20260610_194104433.jpg,0,4,5.0,0.5,0,1,5.985036963264438,0.3096024362542896,3,5,5.0,0.5,0,1,5.0,0.5,0,1,5.0,0.5,0,1
w52,Walk/Anlagenring_20260610_194535579.jpg,walk,Anlagenring,,/home/miguel/Documents/UNI/Master/2/ProjektVerkehr/survey_app/images/Anlagenring/Walk/Anlagenring_20260610_194535579.jpg,/images/0/Walk/Anlagenring_20260610_194535579.jpg,0,1,5.0,0.5,0,1,2.9473180460783786,0.32352103943927213,5,5,5.0,0.5,0,1,5.0,0.5,0,1,5.0,0.5,0,1
w53,Walk/Anlagenring_20260610_194634058.jpg,walk,Anlagenring,,/home/miguel/Documents/UNI/Master/2/ProjektVerkehr/survey_app/images/Anlagenring/Walk/Anlagenring_20260610_194634058.jpg,/images/0/Walk/Anlagenring_20260610_194634058.jpg,0,5,5.0,0.5,0,1,6.279623845613628,0.3953491569745367,1,5,5.0,0.5,0,1,5.0,0.5,0,1,5.0,0.5,0,1
w54,Walk/Anlagenring_20260610_194800019.jpg,walk,Anlagenring,,/home/miguel/Documents/UNI/Master/2/ProjektVerkehr/survey_app/images/Anlagenring/Walk/Anlagenring_20260610_194800019.jpg,/images/0/Walk/Anlagenring_20260610_194800019.jpg,0,2,5.0,0.5,0,1,5.373266807181269,0.29153326616915753,5,5,5.0,0.5,0,1,5.0,0.5,0,1,5.0,0.5,0,1
w55,Walk/Anlagenring_20260610_194931268.jpg,walk,Anlagenring,,/home/miguel/Documents/UNI/Master/2/ProjektVerkehr/survey_app/images/Anlagenring/Walk/Anlagenring_20260610_194931268.jpg,/images/0/Walk/Anlagenring_20260610_194931268.jpg,0,1,5.0,0.5,0,1,5.491222376211491,0.275652441012457,4,5,5.0,0.5,0,1,5.0,0.5,0,1,5.0,0.5,0,1
w56,Walk/Anlagenring_20260610_195007357.jpg,walk,Anlagenring,,/home/miguel/Documents/UNI/Master/2/ProjektVerkehr/survey_app/images/Anlagenring/Walk/Anlagenring_20260610_195007357.jpg,/images/0/Walk/Anlagenring_20260610_195007357.jpg,0,3,5.0,0.5,0,1,3.2259278870571273,0.352620548743412,2,5,5.0,0.5,0,1,5.0,0.5,0,1,5.0,0.5,0,1
w57,Walk/Anlagenring_20260610_195228146.jpg,walk,Anlagenring,,/home/miguel/Documents/UNI/Master/2/ProjektVerkehr/survey_app/images/Anlagenring/Walk/Anlagenring_20260610_195228146.jpg,/images/0/Walk/Anlagenring_20260610_195228146.jpg,0,5,5.0,0.5,0,1,6.116048818865172,0.30690428637617745,3,5,5.0,0.5,0,1,5.0,0.5,0,1,5.0,0.5,0,1
